Fecha Operación,Concepto,Fecha Valor,Pagos,Ingresos,Saldo,
01/03/2018,GASTOS MENSUALES,02/03/2018,,1000,2642.52,
02/03/2018,Gastos comunes,02/03/2018,,1005,3647.52,
02/03/2018,RIBS HERON CITY -PATERNA,02/03/2018,38.15,,3609.37,
02/03/2018,DIVERCLICK -ZARAGOZA,02/03/2018,13.2,,3596.17,
03/03/2018,MERCADONA SAN ANTONIO -SAN ANTONIO B,03/03/2018,131.98,,3464.19,
04/03/2018,PUB O SOLOMONTAVERN -LA CAÑADA,04/03/2018,20,,3444.19,
05/03/2018,Transferencia,05/03/2018,850,,2594.19,
05/03/2018,LIDL PATERNA -PATERNA,05/03/2018,5.47,,2588.72,
11/03/2018,LA BARRACA DEL CARMEN -VALENCIA,11/03/2018,53.5,,2535.22,
12/03/2018,IBERDROLA CLIENTES.SA,12/03/2018,64.14,,2471.08,
13/03/2018,FRUTAS IBAÑEZ RODILLA S.L -SAN ANTONIO .,13/03/2018,12.53,,2458.55,
13/03/2018,MERCADONA SAN ANTONIO -SAN ANTONIO B,13/03/2018,25.15,,2433.4,
18/03/2018,ANITA GIRO -VALENCIA,18/03/2018,30.5,,2402.9,
19/03/2018,IBERDROLA CLIENTES.SA,19/03/2018,296.38,,2106.52,
21/03/2018,FARMACIA EL POUET -VALENCIA,21/03/2018,19.92,,2086.6,
23/03/2018,ORANGE ESPAGNE S.A.,23/03/2018,78.47,,2008.13,
24/03/2018,CONSUM PATERNA LA CAÑADA -CANADA  LA,24/03/2018,21.16,,1986.97,
24/03/2018,CLECERBOL TPM SL -VALENCIA,24/03/2018,28,,1958.97,
25/03/2018,PUB O SOLOMONTAVERN -LA CAÑADA,25/03/2018,15,,1943.97,
26/03/2018,BIZUM-Once 23 marzo,26/03/2018,,3,1946.97,
26/03/2018,VIVEROS POLO -SAN ANTONIO B,26/03/2018,21.2,,1925.77,
26/03/2018,BAUHAUS PATERNA -BARCELONA,26/03/2018,95.57,,1830.2,
26/03/2018,MERCADONA LA CAÑADA -CANADA  LA,26/03/2018,20.41,,1809.79,
30/03/2018,Gastos comunes,30/03/2018,,1005,2814.79,
31/03/2018,FOSTER'S HOLLYWOOD -VALENCIA,31/03/2018,36,,2778.79,
31/03/2018,AMAZON.ES COMPRA -amazon.es/ayu,31/03/2018,219,,2559.79,
01/04/2018,PUB GOLD -PATERNA,01/04/2018,21,,2538.79,
02/04/2018,GASTOS MENSUALES,03/04/2018,,1000,3538.79,
03/04/2018,Transferencia,03/04/2018,850,,2688.79,
04/04/2018,CARREFOUR CAMPA-VALENCIA,04/04/2018,7.71,,2681.08,
02/04/2018,OTPS Recibo enviado,03/04/2018,1000,,1681.08,
,,,,,,
